Category,Label,Temp Min,Temp Max,Rainfall,Sunlight Min,Perennial,Market Price,Growing Price,Savings,Carbon Absorption
Fruits,Strawberry,15,25,0.6,6,No,180,120,60,0.0006
Fruits,Lemon,15,30,0.6,6,Yes,30,20,10,0.0004
Fruits,Passion Fruit,20,30,0.7,6,No,150,80,70,0.0005
Fruits,Grapes,15,30,0.5,6,Yes,120,60,60,0.0005
Fruits,Blueberry,12,28,0.7,6,Yes,200,100,100,0.0004
Fruits,Raspberry,10,25,0.6,6,Yes,170,90,80,0.0004
Fruits,Papaya,25,35,0.8,8,Yes,60,40,20,0.0007
Fruits,Guava,20,30,0.75,7,Yes,50,30,20,0.0006
Fruits,Fig,15,30,0.6,6,Yes,180,90,90,0.0005
Fruits,Mulberry,20,30,0.7,6,Yes,130,60,70,0.0004
Vegetables,Tomato,18,30,0.6,6,No,40,20,20,0.0003
Vegetables,Cucumber,20,30,0.65,6,No,30,15,15,0.0005
Vegetables,Bell Pepper,20,30,0.6,6,No,120,80,40,0.0004
Vegetables,Spinach,15,25,0.7,6,No,30,20,10,0.0003
Vegetables,Lettuce,10,25,0.65,6,No,50,25,25,0.0002
Vegetables,Zucchini,20,30,0.7,6,No,100,50,50,0.0004
Vegetables,Carrot,12,24,0.55,6,No,30,15,15,0.0002
Vegetables,Eggplant,20,30,0.6,6,No,80,40,40,0.0003
Vegetables,Radish,10,25,0.5,6,No,20,10,10,0.0002
Vegetables,Kale,15,25,0.6,6,No,60,30,30,0.0003
Legumes,Peas,10,25,0.6,6,No,60,30,30,0.0003
Legumes,Green Beans,15,30,0.5,6,No,50,25,25,0.0003
Legumes,Lentils,10,25,0.55,6,No,80,40,40,0.0004
Legumes,Chickpeas,15,30,0.6,6,No,70,35,35,0.0003
Legumes,Soybeans,20,30,0.65,6,No,120,60,60,0.0004
Legumes,Black Beans,20,30,0.7,6,No,100,50,50,0.0003
Legumes,Pinto Beans,18,28,0.6,6,No,80,40,40,0.0003
Legumes,Kidney Beans,15,30,0.65,6,No,90,45,45,0.0003
Legumes,Mung Beans,20,35,0.7,6,No,70,35,35,0.0004
Legumes,Fava Beans,15,25,0.6,6,No,85,40,45,0.0004
flowers,Marigold,15,30,0.55,6,No,100,40,60,0.0002
flowers,Petunia,15,30,0.6,6,No,120,50,70,0.0003
flowers,Rose,10,25,0.7,6,Yes,150,60,90,0.0005
flowers,Lavender,10,30,0.5,6,Yes,180,80,100,0.0006
flowers,Jasmine,20,30,0.65,6,Yes,200,90,110,0.0004
flowers,Daisy,10,25,0.55,6,No,130,55,75,0.0003
flowers,Sunflower,15,30,0.6,6,No,80,40,40,0.0002
flowers,Hibiscus,20,35,0.7,6,Yes,160,70,90,0.0004
flowers,Geranium,15,25,0.6,6,No,100,45,55,0.0003
flowers,Zinnia,15,30,0.55,6,No,90,35,55,0.0002
medicinal,Tulsi (Holy Basil),20,35,0.65,6,Yes,150,40,110,0.0006
medicinal,Aloe Vera,20,40,0.5,6,Yes,200,50,150,0.0005
medicinal,Mint,15,30,0.75,6,Yes,80,30,50,0.0004
medicinal,Neem,20,40,0.55,6,Yes,300,80,220,0.0007
medicinal,Ashwagandha,20,35,0.6,6,Yes,250,70,180,0.0006
medicinal,Brahmi,15,30,0.8,6,Yes,180,60,120,0.0005
medicinal,Giloy,20,35,0.7,6,Yes,220,70,150,0.0005
medicinal,Lemongrass,20,35,0.6,6,Yes,90,40,50,0.0004
medicinal,Gotu Kola,20,30,0.7,6,Yes,200,80,120,0.0005
medicinal,Coriander,15,30,0.7,6,No,70,30,40,0.0003
